id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2019;SEX_FMLE;5.47
;;2019;SEX_MLE;7.2
;;2006;SEX_BTSX;13.95
;;2018;SEX_BTSX;7.7
;;2021;SEX_MLE;55.76
;;2017;SEX_FMLE;5.97
;;2016;SEX_MLE;17.58
;;2012;SEX_FMLE;4.47
;;2000;SEX_BTSX;3.53
;;2002;SEX_MLE;19.48
;;2008;SEX_FMLE;1.76
;;2018;SEX_FMLE;11.35
;;2011;SEX_MLE;19.35
;;2005;SEX_FMLE;3.18
;;2009;SEX_BTSX;4.62
;;2010;SEX_MLE;1.64
;;2001;SEX_BTSX;12.58
;;2017;SEX_FMLE;7.65
;;2001;SEX_BTSX;13.82
;;2004;SEX_FMLE;4.79
;;2015;SEX_MLE;11.87
;;2014;SEX_FMLE;0.47
;;2002;SEX_MLE;21.1
;;2021;SEX_BTSX;22.04
;;2001;SEX_FMLE;3.13
;;2011;SEX_MLE;24.76
;;2006;SEX_MLE;14.37
;;2020;SEX_BTSX;7.03
;;2021;SEX_MLE;14.15
;;2008;SEX_FMLE;6.16
;;2002;SEX_MLE;7.2
;;2017;SEX_MLE;23.04
;;2021;SEX_BTSX;4.64
;;2007;SEX_BTSX;2.88
;;2010;SEX_FMLE;5.22
;;2019;SEX_MLE;16.51
;;2021;SEX_FMLE;1.05
;;2007;SEX_FMLE;8.23
;;2017;SEX_BTSX;15.34
;;2004;SEX_MLE;16.57
;;2014;SEX_MLE;14.31
;;2020;SEX_FMLE;1.3
;;2018;SEX_BTSX;10.88
;;2020;SEX_FMLE;6.74
;;2011;SEX_BTSX;11.72
;;2004;SEX_MLE;32.3
;;2014;SEX_MLE;11.63
;;2005;SEX_FMLE;6.93
;;2002;SEX_FMLE;4.51
;;2005;SEX_FMLE;10.78
;;2014;SEX_MLE;13.21
;;2020;SEX_MLE;13.89
;;2007;SEX_BTSX;3.0
;;2002;SEX_FMLE;5.96
;;2010;SEX_MLE;10.59
;;2006;SEX_MLE;23.38
;;2019;SEX_FMLE;3.64
;;2008;SEX_MLE;19.34
;;2003;SEX_FMLE;5.92
;;2016;SEX_MLE;13.58
;;2011;SEX_MLE;21.16
;;2012;SEX_BTSX;4.56
;;2006;SEX_FMLE;11.17
;;2014;SEX_MLE;13.59
;;2011;SEX_BTSX;1.6
;;2000;SEX_FMLE;5.43
;;2012;SEX_FMLE;8.68
;;2020;SEX_BTSX;13.8
;;2001;SEX_MLE;24.8
;;2019;SEX_FMLE;5.4
;;2012;SEX_BTSX;8.94
;;2005;SEX_MLE;9.29
;;2008;SEX_FMLE;7.63
;;2015;SEX_FMLE;7.55
;;2008;SEX_FMLE;9.98
;;2017;SEX_FMLE;0.88
;;2005;SEX_FMLE;4.79
;;2020;SEX_BTSX;12.78
;;2016;SEX_MLE;22.54
;;2014;SEX_MLE;12.78
;;2000;SEX_BTSX;5.69
;;2007;SEX_BTSX;9.79
;;2003;SEX_BTSX;3.07
;;2003;SEX_MLE;3.37
;;2015;SEX_BTSX;11.98
;;2014;SEX_BTSX;13.19
;;2002;SEX_MLE;22.98
;;2014;SEX_FMLE;3.18
;;2020;SEX_BTSX;28.97
;;2016;SEX_MLE;19.16
;;2016;SEX_BTSX;3.51
;;2013;SEX_FMLE;1.98
;;2006;SEX_FMLE;18.89
;;2010;SEX_BTSX;11.57
;;2015;SEX_BTSX;2.23
;;2019;SEX_MLE;13.23
;;2010;SEX_BTSX;5.18
;;2017;SEX_BTSX;12.51
;;2001;SEX_BTSX;10.4
;;2008;SEX_MLE;2.77
;;2008;SEX_BTSX;10.35
;;2015;SEX_FMLE;3.15
;;2002;SEX_BTSX;5.59
;;2018;SEX_BTSX;1.0
;;2021;SEX_FMLE;20.28
;;2003;SEX_MLE;16.15
;;2002;SEX_FMLE;1.07
;;2015;SEX_FMLE;6.25
;;2020;SEX_MLE;5.01
;;2014;SEX_BTSX;14.38
;;2007;SEX_MLE;22.66
;;2014;SEX_FMLE;3.84
;;2007;SEX_BTSX;4.43
;;2012;SEX_FMLE;7.32
;;2009;SEX_FMLE;4.28
;;2017;SEX_MLE;4.95
;;2020;SEX_MLE;21.38
;;2006;SEX_BTSX;2.12
;;2000;SEX_MLE;3.83
;;2015;SEX_MLE;11.22
;;2020;SEX_BTSX;4.41
;;2007;SEX_BTSX;2.12
;;2010;SEX_FMLE;3.53
;;2013;SEX_FMLE;5.16
;;2015;SEX_BTSX;14.52
;;2005;SEX_MLE;4.45
;;2017;SEX_BTSX;10.68
;;2012;SEX_FMLE;1.82
;;2019;SEX_MLE;36.9
